Date/Heure;020 TC2 [°C];020 [hPa];020 [hPa];154 [°C];154 [%HR];154 [hPa];154 [ppm];154 Point de rosée [°C];154 Température humide [°C];154 Humidité absolue [g/m³];905 [°C];905 [m/s];905 [hPa];
22/03/2024 14:18:38;24,0;1008,0;0,005;24,0;51,9;1006,8;2079;13,5;17,3;11,31;25,3;0,00;1006,9;
22/03/2024 14:19:38;24,0;1007,9;0,005;24,0;51,2;1006,8;2074;13,3;17,2;11,16;25,3;0,00;1006,9;
22/03/2024 14:20:38;24,0;1008,0;0,005;24,0;51,9;1006,8;2057;13,5;17,3;11,31;25,3;0,00;1006,9;
22/03/2024 14:21:38;23,9;1007,9;0,005;24,0;51,1;1006,8;2043;13,3;17,2;11,14;25,3;0,00;1006,8;
22/03/2024 14:22:38;23,9;1007,9;0,005;24,0;51,3;1006,8;2032;13,3;17,2;11,18;25,3;0,00;1006,9;
22/03/2024 14:23:38;23,9;1008,0;0,005;24,0;51,4;1006,8;2048;13,4;17,2;11,20;25,4;0,00;1006,9;
22/03/2024 14:24:38;23,9;1007,9;0,005;24,0;51,5;1006,7;2064;13,4;17,2;11,22;25,4;0,00;1006,9;
22/03/2024 14:25:38;23,9;1007,9;0,005;24,0;51,7;1006,8;2076;13,5;17,3;11,27;25,4;0,00;1006,8;
22/03/2024 14:26:38;23,9;1007,9;0,005;24,0;51,9;1006,8;2099;13,5;17,3;11,31;25,4;0,00;1006,8;
22/03/2024 14:27:38;23,9;1008,0;0,005;24,0;52,0;1006,8;2117;13,5;17,3;11,33;25,5;0,00;1006,9;
22/03/2024 14:28:38;24,0;1007,9;0,005;24,0;52,1;1006,8;2138;13,6;17,3;11,35;25,5;0,00;1006,9;
22/03/2024 14:29:38;24,0;1007,9;0,005;24,0;52,2;1006,8;2162;13,6;17,3;11,38;25,5;0,00;1006,9;
22/03/2024 14:30:38;24,0;1007,9;0,005;24,0;52,3;1006,8;2181;13,6;17,4;11,40;25,5;0,00;1006,8;
22/03/2024 14:31:38;24,0;1007,9;0,005;24,0;52,3;1006,7;2206;13,6;17,4;11,40;25,6;0,00;1006,8;
22/03/2024 14:32:38;24,0;1007,9;0,005;24,0;52,3;1006,7;2209;13,6;17,4;11,40;25,6;0,00;1006,8;
