Date/Heure;020 TC2 [°C];020 [hPa];020 [hPa];154 [°C];154 [%HR];154 [hPa];154 [ppm];154 Point de rose?e [°C];154 Température humide [°C];154 Humidité absolue [g/ml];905 [°C];905 [m/s];905 [hPa]
22/03/2024 14:18;24;1008;0,005;24;51,9;1006,8;2079;13,5;17,3;11,31;25,3;0;1006,9
22/03/2024 14:19;24;1007,9;0,005;24;51,2;1006,8;2074;13,3;17,2;11,16;25,3;0;1006,9
22/03/2024 14:20;24;1008;0,005;24;51,9;1006,8;2057;13,5;17,3;11,31;25,3;0;1006,9
22/03/2024 14:21;23,9;1007,9;0,005;24;51,1;1006,8;2043;13,3;17,2;11,14;25,3;0;1006,8
22/03/2024 14:22;23,9;1007,9;0,005;24;51,3;1006,8;2032;13,3;17,2;11,18;25,3;0;1006,9
22/03/2024 14:23;23,9;1008;0,005;24;51,4;1006,8;2048;13,4;17,2;11,2;25,4;0;1006,9
22/03/2024 14:24;23,9;1007,9;0,005;24;51,5;1006,7;2064;13,4;17,2;11,22;25,4;0;1006,9
22/03/2024 14:25;23,9;1007,9;0,005;24;51,7;1006,8;2076;13,5;17,3;11,27;25,4;0;1006,8
22/03/2024 14:26;23,9;1007,9;0,005;24;51,9;1006,8;2099;13,5;17,3;11,31;25,4;0;1006,8
22/03/2024 14:27;23,9;1008;0,005;24;52;1006,8;2117;13,5;17,3;11,33;25,5;0;1006,9
22/03/2024 14:28;24;1007,9;0,005;24;52,1;1006,8;2138;13,6;17,3;11,35;25,5;0;1006,9
22/03/2024 14:29;24;1007,9;0,005;24;52,2;1006,8;2162;13,6;17,3;11,38;25,5;0;1006,9
22/03/2024 14:30;24;1007,9;0,005;24;52,3;1006,8;2181;13,6;17,4;11,4;25,5;0;1006,8
22/03/2024 14:31;24;1007,9;0,005;24;52,3;1006,7;2206;13,6;17,4;11,4;25,6;0;1006,8
22/03/2024 14:32;24;1007,9;0,005;24;52,3;1006,7;2209;13,6;17,4;11,4;25,6;0;1006,8
22/03/2024 14:33;24;1007,8;0,005;24;52,3;1006,6;2221;13,6;17,4;11,4;25,5;0;1006,7
22/03/2024 14:34;24;1007,9;0,005;24;52,3;1006,7;2232;13,6;17,4;11,4;25,5;0;1006,8
22/03/2024 14:35;24;1007,8;0,005;24;52,2;1006,7;2206;13,6;17,3;11,38;25,5;0;1006,8
22/03/2024 14:36;24;1007,8;0,005;24;52,3;1006,6;2194;13,6;17,4;11,4;25,5;0;1006,7
22/03/2024 14:37;23,9;1007,8;0,005;23,9;52;1006,6;2194;13,5;17,2;11,27;25,4;0;1006,7
22/03/2024 14:38;24;1007,8;0,006;23,9;51,8;1006,6;2176;13,4;17,2;11,23;25,4;0;1006,7
22/03/2024 14:39;24;1007,7;0,005;23,9;51,3;1006,6;2121;13,2;17,1;11,12;25,4;0;1006,7
22/03/2024 14:40;23,9;1007,7;0,005;23,8;50,7;1006,6;2072;13;16,9;10,92;25,4;0;1006,7
22/03/2024 14:41;23,9;1007,7;0,006;23,8;50,6;1006,6;2005;12,9;16,9;10,9;25,4;0;1006,7
22/03/2024 14:42;23,9;1007,7;0,005;23,8;50,1;1006,5;1963;12,8;16,8;10,8;25,4;0;1006,6
22/03/2024 14:43;23,9;1007,7;0,006;23,8;49,6;1006,5;1882;12,6;16,8;10,69;25,4;0;1006,6
