NO;SOUND;UNIT;TIME
1;71.8;dBC;05-04-24/13:46:20
2;72.2;dBC;05-04-24/13:46:30
3;72.0;dBC;05-04-24/13:46:40
4;57.2;dBC;05-04-24/13:46:50
5;68.2;dBC;05-04-24/13:47:00
6;70.3;dBC;05-04-24/13:47:10
7;58.1;dBC;05-04-24/13:47:20
8;74.6;dBC;05-04-24/13:47:30
9;61.5;dBC;05-04-24/13:47:40
10;75.3;dBC;05-04-24/13:47:50
11;59.8;dBC;05-04-24/13:48:00
12;61.2;dBC;05-04-24/13:48:10
13;65.5;dBC;05-04-24/13:48:20
14;63.4;dBC;05-04-24/13:48:30
15;63.4;dBC;05-04-24/13:48:40
16;60.5;dBC;05-04-24/13:48:50
17;51.0;dBC;05-04-24/13:49:00
18;48.1;dBC;05-04-24/13:49:10
19;53.6;dBC;05-04-24/13:49:20
20;58.9;dBC;05-04-24/13:49:30
21;52.4;dBC;05-04-24/13:49:40
22;53.9;dBC;05-04-24/13:49:50
23;51.0;dBC;05-04-24/13:50:00
24;57.9;dBC;05-04-24/13:50:10
25;49.3;dBC;05-04-24/13:50:20
26;59.3;dBC;05-04-24/13:50:30
27;62.2;dBC;05-04-24/13:50:40
28;51.5;dBC;05-04-24/13:50:50
29;56.5;dBC;05-04-24/13:51:00
30;64.1;dBC;05-04-24/13:51:10
31;53.1;dBC;05-04-24/13:51:20
32;50.3;dBC;05-04-24/13:51:30
33;49.8;dBC;05-04-24/13:51:40
34;49.6;dBC;05-04-24/13:51:50
35;48.1;dBC;05-04-24/13:52:00
36;50.5;dBC;05-04-24/13:52:10
37;51.9;dBC;05-04-24/13:52:20
38;50.0;dBC;05-04-24/13:52:30
39;53.4;dBC;05-04-24/13:52:40
40;50.8;dBC;05-04-24/13:52:50
41;53.1;dBC;05-04-24/13:53:00
42;51.2;dBC;05-04-24/13:53:10
43;52.7;dBC;05-04-24/13:53:20
44;62.4;dBC;05-04-24/13:53:30
45;51.2;dBC;05-04-24/13:53:40
46;50.0;dBC;05-04-24/13:53:50
47;51.9;dBC;05-04-24/13:54:00
48;51.0;dBC;05-04-24/13:54:10
49;48.8;dBC;05-04-24/13:54:20
50;50.0;dBC;05-04-24/13:54:30
51;49.8;dBC;05-04-24/13:54:40
52;48.8;dBC;05-04-24/13:54:50
53;49.8;dBC;05-04-24/13:55:00
54;49.6;dBC;05-04-24/13:55:10
55;51.0;dBC;05-04-24/13:55:20
56;50.5;dBC;05-04-24/13:55:30
57;54.6;dBC;05-04-24/13:55:40
58;51.7;dBC;05-04-24/13:55:50
59;53.6;dBC;05-04-24/13:56:00
60;51.2;dBC;05-04-24/13:56:10
61;49.1;dBC;05-04-24/13:56:20
62;51.7;dBC;05-04-24/13:56:30
63;57.9;dBC;05-04-24/13:56:40
64;57.4;dBC;05-04-24/13:56:50
65;51.5;dBC;05-04-24/13:57:00
66;53.6;dBC;05-04-24/13:57:10
67;49.3;dBC;05-04-24/13:57:20
68;50.5;dBC;05-04-24/13:57:30
69;51.9;dBC;05-04-24/13:57:40
70;50.5;dBC;05-04-24/13:57:50
71;49.3;dBC;05-04-24/13:58:00
72;58.1;dBC;05-04-24/13:58:10
73;48.4;dBC;05-04-24/13:58:20
74;48.6;dBC;05-04-24/13:58:30
75;49.1;dBC;05-04-24/13:58:40
76;50.8;dBC;05-04-24/13:58:50
77;50.0;dBC;05-04-24/13:59:00
78;52.9;dBC;05-04-24/13:59:10
79;54.3;dBC;05-04-24/13:59:20
80;51.2;dBC;05-04-24/13:59:30
81;52.9;dBC;05-04-24/13:59:40
82;55.3;dBC;05-04-24/13:59:50
83;54.1;dBC;05-04-24/14:00:00
84;56.5;dBC;05-04-24/14:00:10
85;53.1;dBC;05-04-24/14:00:20
86;53.4;dBC;05-04-24/14:00:30
87;51.7;dBC;05-04-24/14:00:40
88;50.8;dBC;05-04-24/14:00:50
89;57.9;dBC;05-04-24/14:01:00
90;55.3;dBC;05-04-24/14:01:10
91;52.2;dBC;05-04-24/14:01:20
92;58.6;dBC;05-04-24/14:01:30
93;52.4;dBC;05-04-24/14:01:40
94;51.7;dBC;05-04-24/14:01:50
95;52.2;dBC;05-04-24/14:02:00
96;53.1;dBC;05-04-24/14:02:10
97;51.0;dBC;05-04-24/14:02:20
98;52.4;dBC;05-04-24/14:02:30
99;57.4;dBC;05-04-24/14:02:40
100;54.8;dBC;05-04-24/14:02:50
101;50.8;dBC;05-04-24/14:03:00
102;50.0;dBC;05-04-24/14:03:10
103;50.8;dBC;05-04-24/14:03:20
104;52.2;dBC;05-04-24/14:03:30
105;50.0;dBC;05-04-24/14:03:40
106;52.7;dBC;05-04-24/14:03:50
107;50.0;dBC;05-04-24/14:04:00
108;53.4;dBC;05-04-24/14:04:10
109;52.7;dBC;05-04-24/14:04:20
110;49.1;dBC;05-04-24/14:04:30
111;49.6;dBC;05-04-24/14:04:40
112;50.5;dBC;05-04-24/14:04:50
113;51.7;dBC;05-04-24/14:05:00
114;50.0;dBC;05-04-24/14:05:10
115;52.9;dBC;05-04-24/14:05:20
116;49.1;dBC;05-04-24/14:05:30
117;48.8;dBC;05-04-24/14:05:40
118;47.4;dBC;05-04-24/14:05:50
119;48.8;dBC;05-04-24/14:06:00
120;50.8;dBC;05-04-24/14:06:10
121;50.3;dBC;05-04-24/14:06:20
122;51.2;dBC;05-04-24/14:06:30
123;49.8;dBC;05-04-24/14:06:40
124;50.3;dBC;05-04-24/14:06:50
