#300323-1	12/09/2023								
#Etalonnage avec VCC = 5V			Etalonnage avec moteur homemade						
#Tension (V)	Vitesse TESTO405i (m/s)	Err vitesse TESTO	T TESTO405i (°C)		U sensor voltmètre (V)Err U sensor voltmètre (V)	RV1	Err RV1	TMP1	Err TMP1
0   0	0	24.6	1.804	0.001	2127.0	 4.147288	2592.3	 1.734935
0.26	0.25	0.02	24.2	2.05	0.001	2429.1	 5.008992	2723.0	 2.097618
0.27	0.33	0.02	24.2	2.083	0.001	2467.7	 6.325346	2728.7	 1.791647
0.29	0.4	0.02	24.4	2.12	0.002	2514.0	 3.376389	2734.7	 1.268858
0.3	    0.44	0.02	24.2	2.149	0.001	2548.0	 4.494441	2748.7	 2.238303
0.4	    0.75	0.02	24.2	2.227	0.001	2653.0	 6.164414	2757.2	 2.181743
0.5	    1.05	0.01	24.5	2.284	0.001	2727.9	 4.908157	2746.4	 2.2
0.6	    1.23	0.02	24.1	2.31	0.001	2755.9	 4.805206	2767.7	 1.345362
0.7	    1.42	0.02	24.2	2.334	0.001	2783.7	 2.830194	2767.4	 1.2
0.8	    1.55	0.01	24.3	2.35	0.002	2807.1	 4.846649	2763.8	 2.521904
1	1.84	0.01	24.3	2.39	0.003	2853.6	 8.674099	2767.3	 1.552417
1.2	    1.99	0.01	24.3	2.396	0.003	2867.1	 17.63774	2770.1	 1.813836
1.5	    2.46	0.01	24.2	2.456	0.003	2934.2	 4.791659	2770.2	 1.720465
1.7	    2.61	0.01	24.2	2.46	0.01	2957.7	 12.30488	2770.0	 2.280351
2	    2.99	0.01	24.2	2.491	0.003	2989.8	 4.489989	2773.8	 3.37046
2.5	    3.49	0.02	24.2	2.423	0.004	3030.2	 7.194442	2774.6	 2.57682
3	3.9	0.02	24.1	2.54	0.01	3041.0	 6.826419	2778.4	 1.74356
