time,tempICP,hum,tempSI7021,windSpeed,pres,RVPin,TMPPin,noise,noiseCalib,lum,meanRadTempPin,meanRadTempCalib,trNat,trFor
Thu Nov  9 12:13:23 2023,25.15381,47.03574,25.00816,0.0159451,99574.77,2282,2819,51,28.06817,648.3333,23.3125,23.46,22.48163,23.42044
Thu Nov  9 12:14:23 2023,25.16716,46.89078,24.86873,0.006297092,99572.81,2253,2886,69,52.5621,650.0,23.3125,23.46,22.59097,23.43936
Thu Nov  9 12:15:24 2023,25.16983,47.09677,24.79366,0.008100757,99571.32,2262,2853,46,38.65243,651.6666,23.25,23.37,22.48859,23.34574
Thu Nov  9 12:16:25 2023,25.17517,47.29514,24.75075,0.01066648,99566.01,2272,2880,39,47.63866,652.5,23.1875,23.28,22.36099,23.2504
Thu Nov  9 12:17:26 2023,25.13779,47.31802,24.6864,0.009681011,99569.83,2270,2819,59,46.14265,662.5,23.1875,23.28,22.41119,23.2533
Thu Nov  9 12:18:27 2023,25.06035,47.56979,24.58987,0.009971112,99569.63,2273,2899,57,43.99794,60.0,23.125,23.19,22.32547,23.16293
Thu Nov  9 12:19:28 2023,24.99626,47.78342,24.52553,0.004825879,99565.81,2253,2832,53,36.86404,65.0,23.0625,23.1,22.21472,23.08215
Thu Nov  9 12:20:28 2023,24.9482,47.77579,24.43973,0.002075079,99563.12,2237,2894,107,62.06177,68.33333,23.0625,23.1,22.2811,23.0899
Thu Nov  9 12:21:29 2023,24.87877,47.99704,24.3861,0.00183507,99558.91,2236,2833,50,9.904462,73.33333,23.0,23.01,22.16232,23.00037
Thu Nov  9 12:23:31 2023,24.81468,48.10385,24.31103,0.009184786,99556.26,2276,2896,59,46.14265,117.5,22.9375,22.92,22.05997,22.89435
Thu Nov  9 12:24:32 2023,24.77196,48.18778,24.2574,0.002358412,99553.79,2243,2834,61,47.86127,107.5,22.9375,22.92,22.10138,22.90909
Thu Nov  9 12:25:33 2023,24.76128,48.21066,24.24667,0.002592296,99557.05,2245,2910,56,42.68755,99.99999,22.875,22.83,21.94919,22.81775
Thu Nov  9 12:26:34 2023,24.7319,48.23355,24.2145,0.00420457,99552.45,2256,2905,44,42.27936,88.33333,22.875,22.83,21.97421,22.81399
Thu Nov  9 12:27:34 2023,24.69719,48.28696,24.1716,0.002522196,99544.7,2246,2849,69,52.5621,88.33333,22.8125,22.74,21.84671,22.72781
Thu Nov  9 12:28:35 2023,24.71054,48.33273,24.20377,0.0055073,99547.68,2263,2899,46,38.65243,199.1667,22.8125,22.74,21.82141,22.72006
Thu Nov  9 12:29:36 2023,24.69452,48.25644,24.16087,0.0006682879,99542.86,2227,2838,45,40.65384,119.1667,22.8125,22.74,21.8551,22.73453
Thu Nov  9 12:30:37 2023,24.66515,48.2717,24.16087,0.002906486,99538.25,2249,2912,74,54.57791,117.5,22.8125,22.74,21.8551,22.72681
Thu Nov  9 12:31:38 2023,24.66782,48.30985,24.16087,0.007095217,99535.25,2271,2899,47,36.04727,112.5,22.8125,22.74,21.8551,22.7175
Thu Nov  9 12:32:39 2023,24.64111,48.3251,24.13943,0.003938026,99530.94,2256,2905,62,48.60788,114.1667,22.75,22.65,21.7103,22.63339
Thu Nov  9 12:33:40 2023,24.63043,48.30985,24.1287,0.007419785,99527.0,2273,2910,67,51.60352,129.1667,22.75,22.65,21.71878,22.62592
Thu Nov  9 12:34:40 2023,24.61975,48.30985,24.1287,0.001923049,99523.84,2242,2853,38,48.40382,155.8333,22.75,22.65,21.71878,22.63928
Thu Nov  9 12:35:41 2023,24.60373,48.35562,24.10725,0.003997109,99521.75,2257,2858,40,46.79952,200.8333,22.75,22.65,21.73572,22.63364
Thu Nov  9 12:36:42 2023,24.61174,48.29459,24.10725,0.003997109,99520.58,2257,2911,50,9.904462,197.5,22.75,22.65,21.73572,22.63364
Thu Nov  9 12:37:43 2023,24.6064,48.29459,24.09652,0.004310617,99515.22,2259,2907,40,46.79952,204.1667,22.75,22.65,21.74417,22.633
Thu Nov  9 12:38:44 2023,24.61441,48.26407,24.1287,0.001133272,99513.14,2234,2896,50,9.904462,199.1667,22.75,22.65,21.71878,22.64218
Thu Nov  9 12:39:45 2023,24.62242,48.2717,24.13943,0.003938026,99512.81,2256,2855,66,51.08141,225.0,22.75,22.65,21.7103,22.63339
Thu Nov  9 12:40:45 2023,24.60907,48.23355,24.13943,0.003604802,99506.81,2254,2899,46,38.65243,193.3333,22.8125,22.74,21.87183,22.72522
Thu Nov  9 12:41:46 2023,24.60907,48.23355,24.16087,0.008884233,99509.54,2278,2913,42,44.83023,126.6667,22.875,22.83,22.01563,22.80588
Thu Nov  9 12:42:47 2023,24.59839,48.23355,24.16087,0.004187963,99510.53,2257,2855,212,71.12068,102.5,22.875,22.83,22.01563,22.81464
Thu Nov  9 12:43:48 2023,24.59038,48.23355,24.13943,0.005039975,99508.01,2262,2906,55,41.14369,95.83333,22.8125,22.74,21.87183,22.72196
Thu Nov  9 12:44:49 2023,24.58237,48.22592,24.1287,0.005814953,99507.1,2266,2914,41,45.87057,85.83333,22.8125,22.74,21.88019,22.72046
Thu Nov  9 12:45:49 2023,24.56902,48.22592,24.10725,0.003826981,99506.53,2256,2853,47,36.04727,103.3333,22.8125,22.74,21.89682,22.72504
Thu Nov  9 12:46:50 2023,24.56635,48.27933,24.13943,0.01336428,99504.34,2293,2910,62,48.60788,256.6667,22.75,22.65,21.7103,22.61548
Thu Nov  9 12:47:51 2023,24.55032,48.24118,24.0858,0.003754032,99501.62,2256,2901,43,43.6481,155.8333,22.75,22.65,21.75259,22.63446
Thu Nov  9 12:48:52 2023,24.57169,48.18778,24.13943,0.002064177,99503.37,2243,2854,46,38.65243,191.6667,22.75,22.65,21.7103,22.63873
Thu Nov  9 12:49:53 2023,24.56902,48.14963,24.13943,0.006525358,99499.03,2269,2858,45,40.65384,245.0,22.75,22.65,21.7103,22.62753
Thu Nov  9 12:50:54 2023,24.59839,48.13437,24.16087,0.004013111,99499.24,2256,2858,43,43.6481,167.5,22.8125,22.74,21.8551,22.724
Thu Nov  9 12:51:54 2023,24.59839,48.05808,24.1716,0.00922001,99491.24,2279,2908,58,45.13633,192.5,22.8125,22.74,21.84671,22.71347
Thu Nov  9 12:52:55 2023,24.61174,48.08096,24.20377,0.007803768,99491.83,2273,2911,49,25.60315,180.0,22.8125,22.74,21.82141,22.71545
Thu Nov  9 12:53:56 2023,24.63043,48.00467,24.2145,0.006196945,99487.67,2266,2901,48,32.30866,203.3333,22.875,22.83,21.97421,22.80978
Thu Nov  9 12:54:57 2023,24.63577,48.02756,24.23595,0.007971959,99494.31,2273,2891,46,38.65243,161.6667,22.875,22.83,21.95755,22.80612
Thu Nov  9 12:55:58 2023,24.64378,47.91312,24.24667,0.006802214,99487.83,2268,2892,43,43.6481,179.1667,22.875,22.83,21.94919,22.80814
Thu Nov  9 12:56:59 2023,24.65179,47.89023,24.2574,0.007829731,99488.65,2272,2893,43,43.6481,272.5,22.875,22.83,21.9408,22.80603
Thu Nov  9 12:57:59 2023,24.70787,47.83682,24.31103,0.01156334,99485.19,2284,2896,44,42.27936,343.3333,22.9375,22.92,22.05997,22.89053
Thu Nov  9 12:59:00 2023,24.67583,47.76816,24.32175,0.008698218,99483.6,2274,2833,39,47.63866,206.6667,23.0,23.01,22.21176,22.9866
Thu Nov  9 13:00:01 2023,24.69719,47.78342,24.33247,0.00464484,99482.67,2256,2817,45,40.65384,154.1667,23.0,23.01,22.20358,22.99381
Thu Nov  9 13:01:02 2023,24.7506,47.7529,24.3861,0.004853767,99481.92,2256,2837,41,45.87057,364.1666,23.0,23.01,22.16232,22.99271
Thu Nov  9 13:02:03 2023,24.71054,47.66898,24.37537,0.002815579,99478.97,2244,2896,67,51.60352,97.49999,23.0625,23.1,22.33017,23.08844
Thu Nov  9 13:03:04 2023,24.72656,47.76816,24.3861,0.009059813,99476.51,2274,2834,45,40.65384,93.33333,23.0625,23.1,22.32202,23.07651
Thu Nov  9 13:04:04 2023,24.73991,47.69949,24.40756,0.008636148,99481.57,2272,2877,53,36.86404,95.83333,23.0625,23.1,22.3057,23.07678
Thu Nov  9 13:05:05 2023,24.70787,47.68424,24.32175,0.006466,99477.02,2265,2887,40,46.79952,109.1667,23.0625,23.1,22.37055,23.08176
Thu Nov  9 13:06:06 2023,24.72389,47.70712,24.32175,0.004238245,99484.94,2254,2847,69,52.5621,104.1667,23.0625,23.1,22.37055,23.08585
Thu Nov  9 13:07:07 2023,24.72923,47.63083,24.37537,0.007685242,99478.34,2269,2864,68,52.09603,96.66667,23.0625,23.1,22.33017,23.07889
