timestamp,uV,digital
414,1538000,1744
2488,1529000,1735
2812,1530000,1733
3097,1527000,1732
3402,1528000,1734
3704,1531000,1735
3989,1529000,1733
4275,1530000,1731
4560,1530000,1734
4844,1529000,1731
5129,1528000,1733
5414,1528000,1731
5699,1530000,1735
5984,1529000,1734
6271,1528000,1732
6556,1531000,1734
6841,1530000,1733
7126,1529000,1733
7429,1529000,1731
7714,1527000,1731
7999,1529000,1731
8284,1529000,1731
8569,1528000,1735
8854,1529000,1734
9139,1528000,1731
9424,1531000,1730
9709,1531000,1735
9994,1530000,1734
10279,1531000,1735
10564,1534000,1738
10857,1532000,1738
11141,1532000,1735
11427,1533000,1737
11712,1531000,1735
11997,1533000,1735
12282,1531000,1735
12567,1534000,1739
12852,1535000,1736
13137,1531000,1735
13422,1532000,1738
13707,1536000,1738
13992,1533000,1741
14277,1531000,1735
14562,1531000,1739
14847,1536000,1739
15131,1534000,1739
15417,1533000,1739
15702,1532000,1739
15987,1531000,1739
16272,1533000,1737
16557,1535000,1740
16842,1535000,1739
17127,1531000,1739
17422,1532000,1735
17707,1535000,1739
17992,1534000,1739
18277,1536000,1741
18601,1536000,1741
18886,1535000,1739
19171,1536000,1741
19456,1536000,1741
19741,1538000,1744
20030,1537000,1743
20315,1537000,1743
20600,1538000,1744
20884,1536000,1744
21169,1537000,1743
21454,1538000,1744
21739,1538000,1744
22024,1538000,1742
22309,1538000,1744
22595,1538000,1743
22880,1538000,1744
23165,1538000,1744
23450,1538000,1744
23735,1539000,1745
24020,1538000,1744
24305,1539000,1744
24590,1538000,1745
24875,1538000,1747
25160,1538000,1744
25445,1539000,1744
25730,1539000,1744
26015,1539000,1744
26300,1538000,1744
26585,1538000,1744
26870,1538000,1745
27155,1538000,1744
27450,1540000,1744
27735,1538000,1745
28020,1538000,1744
28305,1539000,1744
28590,1538000,1744
28875,1538000,1744
29164,1537000,1744
29449,1538000,1744
29734,1538000,1744
30019,1536000,1742
30304,1534000,1742
30589,1536000,1743
30874,1537000,1743
31159,1536000,1741
31444,1536000,1742
31729,1537000,1742
32014,1532000,1741
32299,1534000,1741
32584,1536000,1741
32869,1537000,1743
33154,1534000,1740
33439,1536000,1741
33724,1535000,1743
34009,1537000,1740
34294,1536000,1741
34579,1536000,1744
34864,1537000,1741
35149,1536000,1739
35434,1538000,1743
35719,1537000,1744
36004,1538000,1743
36289,1538000,1742
36574,1537000,1743
36859,1538000,1744
37144,1536000,1743
37439,1537000,1742
37723,1538000,1744
38008,1538000,1744
38297,1538000,1744
38582,1538000,1743
38867,1537000,1744
39152,1538000,1744
39437,1537000,1744
39722,1539000,1745
40007,1538000,1742
40292,1538000,1744
40577,1538000,1742
40862,1538000,1744
41147,1538000,1744
41432,1538000,1743
41717,1538000,1744
42002,1538000,1743
42287,1536000,1744
42581,1538000,1744
42913,1538000,1743
49339,1538000,1743
49727,1538000,1744
50016,1538000,1743
50301,1538000,1742
50586,1538000,1744
50871,1538000,1744
51157,1537000,1742
51443,1536000,1742
51727,1538000,1743
52012,1536000,1743
52297,1536000,1741
52582,1537000,1742
52867,1536000,1743
53152,1538000,1743
53437,1536000,1743
53766,1538000,1744
54089,1538000,1742
54393,1537000,1742
54749,1538000,1744
55110,1536000,1742
55463,1538000,1744
55814,1532000,1742
56179,1534000,1743
56537,1538000,1744
56891,1537000,1745
57212,1536000,1737
57506,1534000,1737
57817,1535000,1744
58104,1531000,1739
58390,1534000,1738
58679,1538000,1744
58965,1532000,1739
59250,1527000,1741
59537,1525000,1739
59822,1526000,1729
60108,1524000,1729
60454,1525000,1730
60739,1525000,1729
61024,1528000,1729
61309,1528000,1730
61594,1529000,1730
61879,1526000,1729
62164,1527000,1729
62449,1527000,1731
62734,1529000,1732
63020,1528000,1732
63305,1529000,1733
63594,1528000,1733
63879,1529000,1737
64164,1528000,1730
64449,1529000,1732
64734,1532000,1735
65019,1529000,1732
65304,1529000,1735
65624,1530000,1731
65963,1538000,1743
66292,1538000,1743
66582,1538000,1743
66873,1538000,1743
67164,1536000,1743
67464,1538000,1744
67755,1539000,1746
68046,1538000,1744
68336,1538000,1744
68627,1538000,1744
68917,1539000,1746
69208,1540000,1744
69499,1538000,1744
69789,1538000,1746
70080,1538000,1744
70370,1539000,1744
70661,1540000,1744
70951,1539000,1745
71242,1538000,1745
71532,1540000,1745
71823,1538000,1749
72114,1539000,1747
72404,1540000,1747
72694,1540000,1746
72989,1540000,1747
73280,1540000,1747
73570,1540000,1747
73861,1543000,1750
74151,1540000,1746
74441,1542000,1749
74732,1540000,1750
75023,1540000,1746
75333,1540000,1746
75624,1541000,1747
75914,1543000,1747
76207,1538000,1744
76497,1540000,1747
76788,1540000,1750
77079,1539000,1745
77377,1540000,1746
77668,1541000,1750
77959,1540000,1746
78249,1539000,1746
78540,1540000,1747
78830,1540000,1749
79120,1540000,1747
79411,1541000,1749
79702,1541000,1749
79993,1541000,1748
80283,1542000,1747
80574,1540000,1747
80864,1543000,1749
81155,1540000,1746
81446,1542000,1749
81736,1544000,1751
82027,1542000,1747
82321,1537000,1747
82612,1540000,1751
82902,1542000,1749
83193,1540000,1747
83484,1542000,1751
83774,1540000,1749
84065,1540000,1748
84355,1540000,1749
84646,1541000,1747
84936,1540000,1749
85227,1540000,1747
85517,1543000,1750
85808,1542000,1751
86098,1540000,1745
86389,1541000,1747
86679,1541000,1748
86970,1542000,1746
87261,1543000,1747
87562,1542000,1747
87853,1542000,1750
88144,1538000,1747
88435,1539000,1746
88725,1540000,1747
89016,1540000,1749
89306,1539000,1747
89597,1543000,1747
89887,1540000,1746
90178,1539000,1747
90469,1540000,1745
90759,1540000,1745
91050,1538000,1744
91340,1538000,1745
91635,1540000,1744
91926,1538000,1745
92216,1538000,1744
92507,1539000,1744
92798,1538000,1744
93088,1538000,1744
93379,1537000,1744
93669,1538000,1744
93960,1538000,1743
94250,1538000,1745
94541,1538000,1744
94832,1538000,1744
95123,1538000,1744
95413,1538000,1744
95704,1538000,1744
95994,1538000,1744
96285,1539000,1744
96576,1538000,1744
96867,1538000,1745
97158,1538000,1744
97457,1538000,1744
97747,1539000,1744
98038,1538000,1744
98328,1540000,1745
98619,1539000,1747
98909,1539000,1747
99200,1538000,1745
99490,1540000,1744
99781,1539000,1749
100072,1540000,1746
100363,1540000,1744
100654,1541000,1749
100949,1539000,1747
101239,1538000,1747
101530,1540000,1747
101821,1542000,1747
102111,1542000,1750
102402,1543000,1751
102693,1542000,1751
102983,1546000,1755
103274,1542000,1750
103564,1545000,1751
103855,1545000,1751
104146,1542000,1750
104436,1543000,1749
104727,1543000,1754
105017,1543000,1751
105308,1543000,1749
105598,1542000,1750
105889,1543000,1750
106180,1542000,1747
106471,1543000,1751
106761,1544000,1753
107052,1542000,1749
107342,1542000,1750
107642,1544000,1747
107933,1540000,1749
108224,1541000,1746
108514,1539000,1747
108804,1540000,1749
109095,1538000,1746
109386,1538000,1744
109676,1539000,1745
109967,1538000,1744
110261,1538000,1744
110552,1538000,1744
110842,1538000,1744
111133,1537000,1743
111424,1536000,1743
111714,1538000,1744
112005,1535000,1742
112296,1535000,1741
112587,1537000,1741
112877,1536000,1743
113168,1533000,1738
113459,1534000,1741
113749,1534000,1741
114040,1534000,1740
114330,1533000,1737
114620,1533000,1739
114912,1534000,1738
115202,1532000,1735
115493,1531000,1739
115784,1532000,1738
116074,1530000,1734
116365,1531000,1734
116655,1531000,1735
116946,1531000,1735
117237,1531000,1734
117538,1532000,1734
117828,1534000,1735
118119,1533000,1735
118409,1531000,1738
118700,1533000,1734
118990,1532000,1735
119281,1532000,1737
119576,1536000,1739
119866,1534000,1741
120157,1534000,1739
120448,1538000,1744
120738,1538000,1744
121029,1538000,1744
121319,1538000,1744
121610,1540000,1745
121901,1540000,1746
122192,1538000,1745
122482,1540000,1746
122773,1540000,1746
123064,1538000,1745
123355,1540000,1746
123646,1540000,1748
123936,1540000,1748
124227,1542000,1747
124518,1544000,1749
124808,1542000,1749
125098,1542000,1748
125389,1540000,1747
125680,1544000,1751
125970,1542000,1750
126261,1542000,1749
126552,1544000,1751
126842,1543000,1750
127133,1544000,1751
127433,1542000,1753
127724,1544000,1750
128015,1542000,1747
128305,1543000,1750
128596,1543000,1750
128891,1539000,1747
129181,1540000,1746
129472,1540000,1747
129763,1540000,1747
130054,1539000,1747
130345,1541000,1745
130635,1540000,1746
130926,1540000,1747
131221,1539000,1745
131512,1539000,1745
131802,1539000,1746
132093,1538000,1745
132383,1538000,1744
132674,1539000,1745
132965,1538000,1746
133255,1539000,1746
133546,1542000,1749
133836,1539000,1747
134127,1540000,1747
134418,1538000,1745
134709,1542000,1749
134999,1539000,1745
135290,1540000,1746
135581,1540000,1750
135873,1542000,1750
136163,1542000,1749
136454,1541000,1749
136745,1542000,1750
137036,1540000,1746
137327,1540000,1747
137627,1542000,1748
137918,1543000,1749
138212,1543000,1748
138503,1542000,1750
138793,1544000,1750
139084,1541000,1747
139375,1540000,1747
139667,1542000,1747
139957,1540000,1747
140248,1539000,1747
140539,1540000,1744
140829,1538000,1746
141121,1538000,1744
141411,1539000,1744
141702,1540000,1747
141993,1538000,1744
142283,1539000,1744
142574,1539000,1744
142864,1538000,1744
143155,1536000,1742
143446,1536000,1741
143737,1536000,1741
144027,1534000,1739
144318,1533000,1738
144610,1534000,1739
144901,1535000,1738
145239,1527000,1730
145590,1528000,1733
145945,1527000,1731
146289,1525000,1730
146631,1528000,1733
146916,1528000,1731
147202,1526000,1729
147497,1528000,1733
147786,1528000,1732
148071,1529000,1731
148356,1529000,1732
148641,1529000,1731
148926,1528000,1734
149212,1529000,1731
149497,1530000,1735
149782,1533000,1737
150067,1530000,1735
150352,1530000,1735
150637,1536000,1738
150922,1532000,1735
151207,1531000,1736
151492,1534000,1737
151777,1534000,1737
152062,1535000,1739
152347,1534000,1739
152633,1536000,1743
152918,1536000,1743
153202,1534000,1743
153487,1538000,1742
153772,1537000,1744
154057,1538000,1743
154343,1537000,1744
154627,1538000,1744
154913,1538000,1744
155198,1538000,1743
155483,1538000,1744
155768,1538000,1744
156053,1537000,1743
156338,1536000,1743
156646,1534000,1744
157004,1536000,1749
157359,1537000,1744
157729,1538000,1743
158092,1536000,1744
158454,1529000,1743
158816,1536000,1744
159167,1534000,1742
159516,1536000,1744
159829,1538000,1744
160119,1536000,1743
160404,1537000,1744
160689,1538000,1743
160974,1537000,1742
161259,1536000,1744
161553,1537000,1744
161908,1536000,1743
162262,1537000,1742
164091,1534000,1742
165057,1532000,1734
165370,1530000,1732
165656,1528000,1733
165941,1525000,1729
166242,1526000,1729
166580,1528000,1733
166865,1528000,1730
167151,1529000,1733
167445,1529000,1733
167730,1530000,1735
168016,1529000,1733
168301,1528000,1731
168586,1531000,1735
168871,1531000,1735
169161,1530000,1734
169446,1528000,1733
169731,1531000,1734
170016,1529000,1733
170302,1529000,1735
170587,1532000,1738
170872,1529000,1735
171157,1532000,1735
171443,1531000,1735
171728,1533000,1738
172013,1534000,1737
172298,1531000,1738
172584,1535000,1739
172869,1534000,1740
173154,1535000,1739
173439,1536000,1741
173724,1534000,1741
174010,1536000,1739
174295,1536000,1742
174580,1538000,1743
174865,1537000,1745
175159,1535000,1743
175444,1537000,1741
175729,1537000,1743
176014,1536000,1743
176300,1536000,1741
176585,1537000,1744
176870,1537000,1743
177155,1536000,1739
177450,1537000,1741
177736,1536000,1742
178021,1537000,1742
178310,1536000,1742
178596,1537000,1741
178881,1536000,1742
179166,1535000,1739
179452,1538000,1744
179737,1537000,1744
180022,1536000,1741
180307,1536000,1740
180593,1537000,1743
180878,1536000,1743
181163,1537000,1738
181449,1537000,1742
181735,1536000,1744
182020,1536000,1741
182305,1535000,1740
182591,1536000,1739
182877,1537000,1741
183163,1535000,1742
183450,1535000,1742
183735,1537000,1742
184020,1536000,1742
184305,1535000,1740
184590,1537000,1744
184876,1536000,1743
185161,1537000,1743
185447,1538000,1744
185732,1538000,1743
186017,1537000,1742
186302,1537000,1743
186588,1538000,1744
186873,1537000,1744
187159,1536000,1741
187459,1537000,1744
187744,1538000,1744
188029,1538000,1744
