#SoundLevel DEM200 (dBA)	Err Soundlevel	050423-1	Err 050423-1
37.2	0.2	52.3	8.000694414
40.9	0.2	57.2	7.842901957
42.7	0.2	62	10.58300524
44.4	0.2	58.9	8.464960458
48.1	0.2	68.3	5.657836257
54.4	0.2	67.1	10.03826014
59.8	0.2	83.7	10.71914176
62.9	0.2	109.9	17.07792597
66	0.2	119.1	10.83666615
68.8	0.2	154	10.68747969
69.9	0.2	162.2	12.53262409
74.5	0.2	255.8	9.647106647
74.8	0.2	274.1	9.122012449
79.8	0.2	444.7	8.56413711
80.6	0.2	506	7.972173829
81.8	0.2	543	4.294699576
85	0.2	838.3	5.657836257
86.4	0.2	975.1	4.863697725
90.3	0.2	1526	6.218252702
90.5	0.2	1737.1	7.248754682
93.7	0.2	2870.3	14.59109317
94.3	0.2	2410.8	8.202980488
98.4	0.2	3945.1	10.13738954
