#			SON-020523-2	
#SoundLevel DEM200 (dBA)	Err Soundlevel	020523-2	Err 020523-2
36.8	0.2	17.2	1.661325
40.1	0.2	24.8	3.627671
44.4	0.2	25.4	4.586937
48.5	0.2	31.2	4.749737
51.7	0.2	36.5	4.759202
55.3	0.2	44.8	2.4
58.6	0.2	48.8	3.310589
61.6	0.2	61.1	4.036087
64.6	0.2	80.80001	2.56125
68.3	0.2	113.6	1.74356
71.8	0.2	178.7	6.708949
76.1	0.2	270.5	5.333854
79.9	0.2	416.7	5.348832
83.4	0.2	599	4.335896
87.2	0.2	947.4	7.241548
67.9	0.2	118.7	4.879549
71.8	0.2	181	3.065942
75.7	0.2	277.5	5.69649
79.6	0.2	441.8	10.10742
84.6	0.2	764	10.63015
88	0.2	1141.1	5.957348
91.8	0.2	1765.8	12.67912
96.1	0.2	2978.2	28.32243
100.2	0.2	4095.0	0.0
