#t (s)	T TESTO (°C)	T DS18B20 (°C)
0	26.1	25.5
1	26.2	25.5625
2	26.2	25.5625
3	26.2	25.5625
4	26.2	25.5625
5	26.2	25.5625
6	26.2	25.5625
7	26.2	25.5625
8	26.2	25.5625
9	26.3	25.5625
10	26.3	25.5625
11	26.3	25.5625
12	26.3	25.5625
13	26.3	25.5625
14	26.3	25.5625
15	26.3	25.5
16	26.3	25.5625
17	26.3	25.5625
18	26.3	25.5625
19	26.3	25.5625
20	26.3	25.5
21	26.3	25.5625
22	26.3	25.5625
23	26.3	25.5625
24	26.3	25.5625
25	26.4	25.5625
26	26.4	25.5625
27	26.4	25.5625
28	26.4	25.5625
29	26.4	25.5625
30	26.4	25.5625
31	26.4	25.5625
32	26.4	25.5625
33	26.5	25.5625
34	26.5	25.5625
35	26.5	25.5625
36	26.5	25.5625
37	26.5	25.5625
38	26.5	25.5625
39	26.5	25.5625
40	26.5	25.5625
41	26.5	25.5625
42	26.5	25.5625
43	26.6	25.5625
44	26.6	25.5625
45	26.6	25.5625
46	26.6	25.5625
47	26.6	25.5625
48	26.6	25.5625
49	26.6	25.5625
50	26.6	25.5625
51	26.7	25.5625
52	26.7	25.5625
53	26.7	25.5625
54	26.7	25.5625
55	26.7	25.5625
56	26.7	25.5625
57	26.7	25.5625
58	26.7	25.5625
59	26.7	25.5625
60	26.7	25.5625
61	26.8	25.5625
62	26.8	25.5625
63	26.8	25.5625
64	26.8	25.5625
65	26.8	25.5625
66	26.8	25.5625
67	26.8	25.5625
68	26.8	25.5625
69	26.9	25.5625
70	26.9	25.5625
71	26.9	25.5625
72	26.9	25.5625
73	26.9	25.5625
74	26.9	25.5625
75	26.9	25.5625
76	26.9	25.5625
77	27	25.5625
78	27	25.5625
79	27	25.5625
80	27	25.5625
81	27	25.5625
82	27	25.5625
83	27.1	25.625
84	27.1	25.625
85	27.1	25.5625
86	27.1	25.5625
87	27.2	25.5625
88	27.2	25.625
89	27.2	25.5625
90	27.2	25.625
91	27.2	25.625
92	27.2	25.625
93	27.2	25.625
94	27.2	25.625
95	27.3	25.625
96	27.3	25.625
97	27.3	25.625
98	27.3	25.625
99	27.3	25.625
100	27.3	25.625
101	27.3	25.625
102	27.3	25.625
103	27.4	25.625
104	27.4	25.625
105	27.4	25.625
106	27.4	25.6875
107	27.4	25.6875
108	27.4	25.6875
109	27.5	25.6875
110	27.5	25.6875
111	27.5	25.6875
112	27.5	25.6875
113	27.5	25.6875
114	27.5	25.6875
115	27.5	25.6875
116	27.5	25.6875
117	27.6	25.6875
118	27.6	25.75
119	27.6	25.6875
120	27.6	25.6875
121	27.6	25.75
122	27.6	25.6875
123	27.6	25.6875
124	27.6	25.75
125	27.7	25.75
126	27.7	25.75
127	27.7	25.75
128	27.7	25.75
129	27.7	25.75
130	27.7	25.75
131	27.8	25.75
132	27.8	25.75
133	27.8	25.75
134	27.8	25.75
135	27.8	25.75
136	27.8	25.75
137	27.8	25.8125
138	27.8	25.8125
139	27.8	25.8125
140	27.9	25.8125
141	27.9	25.8125
142	27.9	25.8125
143	27.9	25.8125
144	27.9	25.8125
145	27.9	25.8125
146	28	25.8125
147	28	25.8125
148	28	25.8125
149	28	25.875
150	28.1	25.8125
151	28.1	25.875
152	28	25.875
153	28	25.875
154	28.1	25.875
155	28.1	25.875
156	28.1	25.875
157	28.1	25.875
158	28.2	25.9375
159	28.2	25.875
160	28.2	25.875
161	28.2	25.875
162	28.2	25.9375
163	28.2	25.9375
164	28.2	25.9375
165	28.2	25.9375
166	28.3	25.9375
167	28.3	25.9375
168	28.3	25.9375
169	28.3	25.9375
170	28.3	25.9375
171	28.3	25.9375
172	28.3	25.9375
173	28.3	25.9375
174	28.4	26
175	28.4	26
176	28.4	26
177	28.4	26
178	28.4	25.9375
179	28.4	26
180	28.4	26
181	28.4	26
182	28.5	26
183	28.5	26
184	28.5	26
185	28.5	26.0625
186	28.5	26
187	28.5	26.0625
188	28.5	26.0625
189	28.5	26.0625
190	28.6	26.0625
191	28.6	26.0625
192	28.6	26.0625
193	28.6	26.0625
194	28.6	26.0625
195	28.6	26.0625
196	28.6	26.0625
197	28.6	26.0625
198	28.7	26.0625
199	28.7	26.0625
200	28.7	26.0625
201	28.7	26.125
202	28.7	26.125
203	28.7	26.125
204	28.7	26.125
205	28.7	26.125
206	28.8	26.125
207	28.8	26.125
208	28.8	26.125
209	28.8	26.1875
210	28.8	26.1875
211	28.8	26.1875
212	28.8	26.125
213	28.8	26.1875
214	28.9	26.1875
215	28.9	26.1875
216	28.9	26.1875
217	28.9	26.1875
218	28.9	26.1875
219	28.9	26.1875
220	28.9	26.1875
221	28.9	26.1875
222	29	26.1875
223	29	26.1875
224	29	26.1875
225	29	26.25
226	29.1	26.25
227	29.1	26.25
228	29	26.25
229	29	26.25
230	29	26.25
231	29	26.25
232	29.1	26.25
233	29.1	26.25
234	29.1	26.25
235	29.1	26.3125
236	29.2	26.3125
237	29.2	26.3125
238	29.2	26.3125
239	29.2	26.3125
240	29.2	26.3125
241	29.2	26.3125
242	29.2	26.3125
