#t(s)	T TESTO (°C)	T DS18B20 (°C)
1	33	29.4375
2	33.1	29.5
3	33.1	29.5
4	33.1	29.4375
5	33.1	29.4375
6	33.1	29.4375
7	33.1	29.4375
8	33.1	29.5
9	33.1	29.5
10	33.1	29.5
11	33.1	29.5
12	33.1	29.5
13	33.1	29.4375
14	33.1	29.4375
15	33.1	29.5
16	33.1	29.5
17	33.1	29.5
18	33.1	29.4375
19	33.1	29.5
20	33.1	29.5
21	33.1	29.5
22	33.1	29.5
23	33.1	29.5
24	33.1	29.5
25	33.1	29.5
26	33.1	29.5
27	33.1	29.5
28	33.1	29.5
29	33.1	29.5
30	33.1	29.5
31	33.1	29.5
32	33.1	29.5
33	33.1	29.5
34	33.1	29.5
35	33.1	29.5
36	33.1	29.5
37	33.1	29.5
38	33.1	29.5
39	33.1	29.5
40	33.1	29.5
41	33.1	29.5
42	33.1	29.5
43	33.1	29.5
44	33.1	29.5
45	33.1	29.5
46	33.1	29.5
47	33.1	29.5
48	33.1	29.5625
49	33.1	29.5
50	33.1	29.5625
51	33.1	29.5
52	33.1	29.5
53	33.1	29.5
54	33.1	29.5625
55	33.1	29.5
56	33.1	29.5
57	33.1	29.5625
58	33.1	29.5625
59	33.1	29.5625
60	33.1	29.5625
61	33.1	29.5625
62	33.1	29.5625
63	33.1	29.5625
64	33.1	29.5625
65	33.1	29.5625
66	33.1	29.5625
67	33.1	29.5625
68	33.1	29.5625
69	33.1	29.5625
70	33.2	29.5625
71	33.2	29.5625
72	33.2	29.5625
73	33.2	29.5625
74	33.2	29.5625
75	33.2	29.5625
76	33.2	29.5625
77	33.2	29.5625
78	33.2	29.5625
79	33.2	29.5625
80	33.2	29.5625
81	33.2	29.5625
82	33.2	29.5625
83	33.2	29.5625
84	33.2	29.5625
85	33.2	29.625
86	33.3	29.5625
87	33.3	29.5625
88	33.2	29.5625
89	33.2	29.5625
90	33.3	29.5625
91	33.3	29.5625
92	33.3	29.625
93	33.3	29.5625
94	33.3	29.5625
95	33.3	29.625
96	33.3	29.625
97	33.3	29.625
98	33.3	29.625
99	33.3	29.625
100	33.3	29.625
101	33.3	29.625
102	33.3	29.625
103	33.3	29.625
104	33.3	29.625
105	33.3	29.625
106	33.3	29.625
107	33.3	29.625
108	33.3	29.625
109	33.3	29.625
110	33.3	29.625
111	33.3	29.625
112	33.3	29.625
113	33.3	29.625
114	33.3	29.625
115	33.3	29.625
116	33.3	29.625
117	33.3	29.625
118	33.3	29.625
119	33.3	29.625
120	33.3	29.625
121	33.3	29.625
122	33.3	29.6875
123	33.3	29.625
124	33.4	29.625
125	33.4	29.6875
126	33.4	29.625
127	33.4	29.625
128	33.4	29.625
129	33.4	29.6875
